SITE_NO,node_id,node_lon,node_lat
6067,3374134102,144.9600834,-37.778076
991,774545099,144.9583459,-37.8060861
3976,3374134102,144.9600834,-37.778076
3915,3374134102,144.9600834,-37.778076
2689,2142179147,144.9364301,-37.7994074
995,774545099,144.9583459,-37.8060861
5314,774545099,144.9583459,-37.8060861
1018,3374134102,144.9600834,-37.778076
6197,2180345319,144.93711,-37.7740075
2441,774545099,144.9583459,-37.8060861
1154,2180345319,144.93711,-37.7740075
1158,774545099,144.9583459,-37.8060861
3725,774545099,144.9583459,-37.8060861
2951,9086096484,144.9521413,-37.805403
3172,774545099,144.9583459,-37.8060861
6283,2180345319,144.93711,-37.7740075
4270,774545099,144.9583459,-37.8060861
4271,774545099,144.9583459,-37.8060861
4272,774545099,144.9583459,-37.8060861
4273,774545099,144.9583459,-37.8060861
4274,774545099,144.9583459,-37.8060861
4275,774545099,144.9583459,-37.8060861
4209,2180345319,144.93711,-37.7740075
4210,3374134102,144.9600834,-37.778076
4212,2209553724,144.9600525,-37.778965
4213,2209553724,144.9600525,-37.778965
4214,2209553723,144.9597143,-37.781681
4215,2209383463,144.9594868,-37.7835003
4216,774545099,144.9583459,-37.8060861
3142,774545099,144.9583459,-37.8060861
3143,774545099,144.9583459,-37.8060861
3144,774545099,144.9583459,-37.8060861
4374,52452407,144.9367102,-37.8003421
4375,52452407,144.9367102,-37.8003421
4376,52452407,144.9367102,-37.8003421
4377,52452407,144.9367102,-37.8003421
4378,52452407,144.9367102,-37.8003421
4380,9515157446,144.9607317,-37.7919871
4382,9515157446,144.9607317,-37.7919871
4383,2209383590,144.9585,-37.7925015
4385,8976233517,144.9576811,-37.7982027
2340,774545099,144.9583459,-37.8060861
2341,774545099,144.9583459,-37.8060861
4713,774545099,144.9583459,-37.8060861
4714,774545099,144.9583459,-37.8060861
4641,774545099,144.9583459,-37.8060861
4642,774545099,144.9583459,-37.8060861
4643,774545099,144.9583459,-37.8060861
4644,774545099,144.9583459,-37.8060861
4645,774545099,144.9583459,-37.8060861
4646,774545099,144.9583459,-37.8060861
4647,774545099,144.9583459,-37.8060861
4648,774545099,144.9583459,-37.8060861
4649,774545099,144.9583459,-37.8060861
4650,774545099,144.9583459,-37.8060861
4659,3374134102,144.9600834,-37.778076
4660,3374134102,144.9600834,-37.778076
4661,3374134102,144.9600834,-37.778076
4662,3374134102,144.9600834,-37.778076
4663,3374134102,144.9600834,-37.778076
4664,3374134102,144.9600834,-37.778076
4665,3374134102,144.9600834,-37.778076
4666,3374134102,144.9600834,-37.778076
4667,3374134102,144.9600834,-37.778076
4668,3374134102,144.9600834,-37.778076
6320,2180345319,144.93711,-37.7740075
6321,2180345319,144.93711,-37.7740075
6322,2180345319,144.93711,-37.7740075
6323,2180345319,144.93711,-37.7740075
6330,2180345319,144.93711,-37.7740075
6335,3374134102,144.9600834,-37.778076
6336,3374134102,144.9600834,-37.778076
6338,3374134102,144.9600834,-37.778076
6404,2180345319,144.93711,-37.7740075
6406,2180345319,144.93711,-37.7740075
6442,2180345319,144.93711,-37.7740075
6443,2180345319,144.93711,-37.7740075
6444,2180345319,144.93711,-37.7740075
4673,3374134102,144.9600834,-37.778076
4674,3374134102,144.9600834,-37.778076
4675,3374134102,144.9600834,-37.778076
4676,3374134102,144.9600834,-37.778076
4677,3374134102,144.9600834,-37.778076
4678,3374134102,144.9600834,-37.778076
4679,3374134102,144.9600834,-37.778076
4680,3374134102,144.9600834,-37.778076
4607,774545099,144.9583459,-37.8060861
4608,774545099,144.9583459,-37.8060861
4609,777696327,144.9571074,-37.8059444
4610,774545099,144.9583459,-37.8060861
4612,774545099,144.9583459,-37.8060861
4613,774545099,144.9583459,-37.8060861
4614,774545099,144.9583459,-37.8060861
4615,774545099,144.9583459,-37.8060861
4616,774545099,144.9583459,-37.8060861
4617,774545099,144.9583459,-37.8060861
4618,774545099,144.9583459,-37.8060861
4619,774545099,144.9583459,-37.8060861
4620,774545099,144.9583459,-37.8060861
4621,774545099,144.9583459,-37.8060861
4622,774545099,144.9583459,-37.8060861
4623,774545099,144.9583459,-37.8060861
4624,774545099,144.9583459,-37.8060861
4625,774545099,144.9583459,-37.8060861
4626,774545099,144.9583459,-37.8060861
4627,774545099,144.9583459,-37.8060861
4628,774545099,144.9583459,-37.8060861
4629,774545099,144.9583459,-37.8060861
4631,774545099,144.9583459,-37.8060861
4632,774545099,144.9583459,-37.8060861
4633,774545099,144.9583459,-37.8060861
4634,774545099,144.9583459,-37.8060861
3106,774545099,144.9583459,-37.8060861
5041,52452407,144.9367102,-37.8003421
5049,52452407,144.9367102,-37.8003421
5050,52452407,144.9367102,-37.8003421
5051,52452407,144.9367102,-37.8003421
5053,52452407,144.9367102,-37.8003421
5054,52452407,144.9367102,-37.8003421
5055,52452407,144.9367102,-37.8003421
4968,702452273,144.9420045,-37.8043054
4969,702452273,144.9420045,-37.8043054
4970,52452407,144.9367102,-37.8003421
4972,2180345319,144.93711,-37.7740075
4973,2180345319,144.93711,-37.7740075
4974,2180345319,144.93711,-37.7740075
4975,2180345319,144.93711,-37.7740075
4976,2180345319,144.93711,-37.7740075
4977,2180345319,144.93711,-37.7740075
4386,12076587280,144.9573893,-37.7996995
4387,777825626,144.9574211,-37.803969
4388,774545099,144.9583459,-37.8060861
4389,774545099,144.9583459,-37.8060861
4390,774545099,144.9583459,-37.8060861
4391,11959270122,144.9578396,-37.7988271
4393,8976539980,144.9580662,-37.7970229
4396,11959270122,144.9578396,-37.7988271
4397,11959270122,144.9578396,-37.7988271
4398,774545099,144.9583459,-37.8060861
4399,774545099,144.9583459,-37.8060861
4400,774545099,144.9583459,-37.8060861
4402,774545099,144.9583459,-37.8060861
4403,774545099,144.9583459,-37.8060861
4341,774545099,144.9583459,-37.8060861
4342,774545099,144.9583459,-37.8060861
4343,774545099,144.9583459,-37.8060861
4344,774545099,144.9583459,-37.8060861
4345,774545099,144.9583459,-37.8060861
4346,774545099,144.9583459,-37.8060861
4347,774545099,144.9583459,-37.8060861
3017,774545099,144.9583459,-37.8060861
3018,774545099,144.9583459,-37.8060861
3019,774545099,144.9583459,-37.8060861
3020,774545099,144.9583459,-37.8060861
3021,774545099,144.9583459,-37.8060861
3381,9515157446,144.9607317,-37.7919871
3262,3374134102,144.9600834,-37.778076
3263,3374134102,144.9600834,-37.778076
3264,3374134102,144.9600834,-37.778076
